"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/29/2018",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/30/2018",24,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"05/31/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/01/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/02/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/03/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/04/2018",54,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/05/2018",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/06/2018",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/07/2018",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/08/2018",77,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/09/2018",80,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/10/2018",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/11/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/12/2018",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/13/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/14/2018",43,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/15/2018",49,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/16/2018",100,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/17/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/18/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/19/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/20/2018",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/21/2018",22,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/22/2018",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/23/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/24/2018",34,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/25/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/26/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/27/2018",29,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/28/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/29/2018",45,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"06/30/2018",50,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/01/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/02/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/03/2018",71,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/04/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/05/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/06/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/07/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/08/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/09/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/10/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/11/2018",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/12/2018",51,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/13/2018",74,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/14/2018",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/15/2018",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/16/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/17/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/18/2018",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/19/2018",40,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/20/2018",61,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/21/2018",47,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/22/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/23/2018",39,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
